,FR_TIME,TIME_FRACTIONAL_MS,EXP_SEQ_NUM,TX_MSG_NUM,STEP_NUM,MODULE,BW,SF,CR,CRC_EN,LDRO,SYNC,IQ_INVERT,FREQUENCY,TX_POWER,DISABLE_AMPL,MSG_LEN,ACCOMP_INFO,DEV_ID,MODEM_ID,IF_CHAN,COUNT_MS,RSSI_CHANNEL,RSSI_SIGNAL,SNR,SNR_MAX,SNR_MIN
0,2000-01-01 04:49:02,0,2,0,8423,13,7,10,1,1,0,18,0x00,399887500,0,1,4,0xDEADBEAF12438850DEADBEAF5500F101,12,3,3,2808180,193.00,194.00,12.25,0.00,0.00
1,2000-01-01 09:37:09,0,2,0,17042,13,7,10,1,1,0,18,0x00,399887500,0,1,4,0xDEADBEAF12438850DEADBEAF5500F101,12,3,3,779718,193.00,194.00,12.75,0.00,0.00
2,2000-01-01 09:40:12,0,2,0,17133,13,7,10,1,1,0,18,0x00,399887500,0,1,4,0xDEADBEAF12438850DEADBEAF5500F101,12,3,3,1499219,193.00,194.00,13.25,0.00,0.00
3,2000-01-01 03:11:14,0,2,0,5498,13,7,10,1,1,0,18,0x00,399887500,0,1,4,0xDEADBEAF12438850DEADBEAF5500F101,12,3,3,1637757,167.00,168.00,11.00,0.00,0.00
4,2000-01-01 03:51:13,0,2,0,6694,13,7,10,1,1,0,18,0x00,399887500,0,1,4,0xDEADBEAF12438850DEADBEAF5500F101,12,3,3,3501216,167.00,168.00,11.75,0.00,0.00
5,2000-01-01 04:04:15,0,2,0,7084,13,7,10,1,1,0,18,0x00,399887500,0,1,4,0xDEADBEAF12438850DEADBEAF5500F101,12,3,3,1062668,167.00,168.00,10.25,0.00,0.00
6,2000-01-01 05:15:33,0,2,0,9216,13,7,10,1,1,0,18,0x00,399887500,0,1,4,0xDEADBEAF12438850DEADBEAF5500F101,12,3,3,3596457,167.00,168.00,11.25,0.00,0.00
7,2000-01-01 09:37:09,0,2,0,17042,13,7,10,1,1,0,18,0x00,399887500,0,1,4,0xDEADBEAF12438850DEADBEAF5500F101,12,3,3,3197887,166.00,166.00,10.25,0.00,0.00
8,2000-01-01 10:45:23,0,2,0,19083,13,7,10,1,1,0,18,0x00,399887500,0,1,4,0xDEADBEAF12438850DEADBEAF5500F101,12,3,3,3401944,166.00,166.00,11.50,0.00,0.00
9,2000-01-01 11:07:32,0,2,0,19746,13,7,10,1,1,0,18,0x00,399887500,0,1,4,0xDEADBEAF12438850DEADBEAF5500F101,12,3,3,2048336,166.00,167.00,12.00,0.00,0.00
