,FR_TIME,TIME_FRACTIONAL_MS,EXP_SEQ_NUM,TX_MSG_NUM,STEP_NUM,MODULE,BW,SF,CR,CRC_EN,LDRO,SYNC,IQ_INVERT,FREQUENCY,TX_POWER,DISABLE_AMPL,MSG_LEN,ACCOMP_INFO,DEV_ID,MODEM_ID,IF_CHAN,COUNT_MS,RSSI_CHANNEL,RSSI_SIGNAL,SNR,SNR_MAX,SNR_MIN
0,2000-01-01 04:35:08,0,2,0,8007,13,7,10,1,1,0,18,0x00,399887500,0,1,4,0xDEADBEAF12438850DEADBEAF5500F101,9,1,1,1043760,198.00,199.00,12.75,0.00,0.00
1,2000-01-01 07:05:04,0,2,0,12492,13,7,10,1,1,0,18,0x00,399887500,0,1,4,0xDEADBEAF12438850DEADBEAF5500F101,9,1,1,2797857,197.00,198.00,12.25,0.00,0.00
2,2000-01-01 08:30:42,0,2,0,15053,13,7,10,1,1,0,18,0x00,399887500,0,1,4,0xDEADBEAF12438850DEADBEAF5500F101,9,1,1,3643079,197.00,199.00,13.00,0.00,0.00
