,FR_TIME,TIME_FRACTIONAL_MS,EXP_SEQ_NUM,TX_MSG_NUM,STEP_NUM,MODULE,BW,SF,CR,CRC_EN,LDRO,SYNC,IQ_INVERT,FREQUENCY,TX_POWER,DISABLE_AMPL,MSG_LEN,ACCOMP_INFO,DEV_ID,MODEM_ID,IF_CHAN,COUNT_MS,RSSI_CHANNEL,RSSI_SIGNAL,SNR,SNR_MAX,SNR_MIN
0,2000-01-01 05:52:57,0,2,0,10334,13,7,10,1,1,0,18,0x00,399887500,0,1,4,0xDEADBEAF12438850DEADBEAF5500F101,7,0,6,1288088,108.00,98.00,-16.50,0.00,0.00
1,2000-01-01 08:45:28,0,2,0,15495,13,7,10,1,1,0,18,0x00,399887500,0,1,4,0xDEADBEAF12438850DEADBEAF5500F101,7,0,6,372445,111.00,98.00,-16.50,0.00,0.00
2,2000-01-01 10:13:13,0,2,0,18121,13,7,10,1,1,0,18,0x00,399887500,0,1,4,0xDEADBEAF12438850DEADBEAF5500F101,7,0,6,2287339,108.00,99.00,-16.00,0.00,0.00
