,FR_TIME,TIME_FRACTIONAL_MS,EXP_SEQ_NUM,TX_MSG_NUM,STEP_NUM,MODULE,BW,SF,CR,CRC_EN,LDRO,SYNC,IQ_INVERT,FREQUENCY,TX_POWER,DISABLE_AMPL,MSG_LEN,ACCOMP_INFO,DEV_ID,MODEM_ID,IF_CHAN,COUNT_MS,RSSI_CHANNEL,RSSI_SIGNAL,SNR,SNR_MAX,SNR_MIN
0,2000-01-01 03:56:52,0,2,0,6863,13,7,10,1,1,0,18,0x00,399887500,0,1,4,0xDEADBEAF12438850DEADBEAF5500F101,6,0,6,1166888,109.00,97.00,-15.00,0.00,0.00
1,2000-01-01 05:13:49,0,2,0,9164,13,7,10,1,1,0,18,0x00,399887500,0,1,4,0xDEADBEAF12438850DEADBEAF5500F101,6,0,6,1489726,108.00,97.00,-15.50,0.00,0.00
2,2000-01-01 07:30:42,0,2,0,13259,13,7,10,1,1,0,18,0x00,399887500,0,1,4,0xDEADBEAF12438850DEADBEAF5500F101,6,0,6,1253327,109.00,96.00,-16.25,0.00,0.00
3,2000-01-01 10:05:50,0,2,0,17900,13,7,10,1,1,0,18,0x00,399887500,0,1,4,0xDEADBEAF12438850DEADBEAF5500F101,6,0,6,1978057,109.00,96.00,-16.00,0.00,0.00
