,FR_TIME,TIME_FRACTIONAL_MS,EXP_SEQ_NUM,TX_MSG_NUM,STEP_NUM,MODULE,BW,SF,CR,CRC_EN,LDRO,SYNC,IQ_INVERT,FREQUENCY,TX_POWER,DISABLE_AMPL,MSG_LEN,ACCOMP_INFO,DEV_ID,MODEM_ID,IF_CHAN,COUNT_MS,RSSI_CHANNEL,RSSI_SIGNAL,SNR,SNR_MAX,SNR_MIN
0,2000-01-01 08:08:06,0,2,0,14377,13,7,10,1,1,0,18,0x00,399887500,0,1,4,0xDEADBEAF12438850DEADBEAF5500F101,12,3,6,933931,140.00,137.00,-4.25,0.00,0.00
1,2000-01-01 08:43:17,0,2,0,15430,13,7,10,1,1,0,18,0x00,399887500,0,1,4,0xDEADBEAF12438850DEADBEAF5500F101,12,3,6,3450049,139.00,137.00,-3.75,0.00,0.00
2,2000-01-01 10:45:23,0,2,0,19083,13,7,10,1,1,0,18,0x00,399887500,0,1,4,0xDEADBEAF12438850DEADBEAF5500F101,12,3,6,1654913,138.00,135.00,-4.50,0.00,0.00
3,2000-01-01 01:09:59,0,2,11,1869,11,7,10,1,1,0,18,0x00,920225000,0,1,4,0xDEADBEAF12438850DEADBEAF5500F101,12,3,6,2275980,140.00,137.00,-4.25,0.00,0.00
4,2000-01-01 01:36:54,0,2,11,2675,11,7,10,1,1,0,18,0x00,920225000,0,1,4,0xDEADBEAF12438850DEADBEAF5500F101,12,3,6,3088045,140.00,137.00,-4.00,0.00,0.00
5,2000-01-01 01:41:15,0,2,11,2805,11,7,10,1,1,0,18,0x00,920225000,0,1,4,0xDEADBEAF12438850DEADBEAF5500F101,12,3,6,3617352,139.00,137.00,-4.00,0.00,0.00
6,2000-01-01 02:16:25,0,2,11,3858,11,7,10,1,1,0,18,0x00,920225000,0,1,4,0xDEADBEAF12438850DEADBEAF5500F101,12,3,6,227586,138.00,136.00,-4.00,0.00,0.00
7,2000-01-01 02:23:48,0,2,11,4079,11,7,10,1,1,0,18,0x00,920225000,0,1,4,0xDEADBEAF12438850DEADBEAF5500F101,12,3,6,1610538,138.00,136.00,-4.50,0.00,0.00
8,2000-01-01 02:58:08,0,2,11,5106,11,7,10,1,1,0,18,0x00,920225000,0,1,4,0xDEADBEAF12438850DEADBEAF5500F101,12,3,6,2597789,138.00,136.00,-4.00,0.00,0.00
9,2000-01-01 03:02:02,0,2,11,5223,11,7,10,1,1,0,18,0x00,920225000,0,1,4,0xDEADBEAF12438850DEADBEAF5500F101,12,3,6,3369460,139.00,136.00,-4.00,0.00,0.00
