,FR_TIME,TIME_FRACTIONAL_MS,EXP_SEQ_NUM,TX_MSG_NUM,STEP_NUM,MODULE,BW,SF,CR,CRC_EN,LDRO,SYNC,IQ_INVERT,FREQUENCY,TX_POWER,DISABLE_AMPL,MSG_LEN,ACCOMP_INFO,DEV_ID,MODEM_ID,IF_CHAN,COUNT_MS,RSSI_CHANNEL,RSSI_SIGNAL,SNR,SNR_MAX,SNR_MIN
0,2000-01-01 03:56:52,0,2,0,6863,13,7,10,1,1,0,18,0x00,399887500,0,1,4,0xDEADBEAF12438850DEADBEAF5500F101,6,2,1,1966271,198.00,199.00,13.50,0.00,0.00
1,2000-01-01 07:30:42,0,2,0,13259,13,7,10,1,1,0,18,0x00,399887500,0,1,4,0xDEADBEAF12438850DEADBEAF5500F101,6,2,1,978947,198.00,199.00,12.00,0.00,0.00
