,FR_TIME,TIME_FRACTIONAL_MS,EXP_SEQ_NUM,TX_MSG_NUM,STEP_NUM,MODULE,BW,SF,CR,CRC_EN,LDRO,SYNC,IQ_INVERT,FREQUENCY,TX_POWER,DISABLE_AMPL,MSG_LEN,ACCOMP_INFO,DEV_ID,MODEM_ID,IF_CHAN,COUNT_MS,RSSI_CHANNEL,RSSI_SIGNAL,SNR,SNR_MAX,SNR_MIN
0,2000-01-01 01:33:56,0,2,0,2586,13,7,10,1,1,0,18,0x00,399887500,0,1,4,0xDEADBEAF12438850DEADBEAF5500F101,12,3,2,2502802,162.00,161.00,-8.25,0.00,0.00
1,2000-01-01 03:51:13,0,2,0,6694,13,7,10,1,1,0,18,0x00,399887500,0,1,4,0xDEADBEAF12438850DEADBEAF5500F101,12,3,2,4170139,165.00,161.00,-8.25,0.00,0.00
2,2000-01-01 05:15:33,0,2,0,9216,13,7,10,1,1,0,18,0x00,399887500,0,1,4,0xDEADBEAF12438850DEADBEAF5500F101,12,3,2,3728663,164.00,162.00,-8.50,0.00,0.00
3,2000-01-01 11:07:06,0,2,0,19733,13,7,10,1,1,0,18,0x00,399887500,0,1,4,0xDEADBEAF12438850DEADBEAF5500F101,12,3,2,2022251,137.00,134.00,-8.00,0.00,0.00
4,2000-01-01 01:17:22,0,2,11,2090,11,7,10,1,1,0,18,0x00,920225000,0,1,4,0xDEADBEAF12438850DEADBEAF5500F101,12,3,2,3793199,165.00,161.00,-8.50,0.00,0.00
5,2000-01-01 01:25:37,0,2,11,2337,11,7,10,1,1,0,18,0x00,920225000,0,1,4,0xDEADBEAF12438850DEADBEAF5500F101,12,3,2,1201858,165.00,161.00,-8.50,0.00,0.00
6,2000-01-01 01:26:03,0,2,11,2350,11,7,10,1,1,0,18,0x00,920225000,0,1,4,0xDEADBEAF12438850DEADBEAF5500F101,12,3,2,1227956,166.00,161.00,-8.50,0.00,0.00
7,2000-01-01 01:27:47,0,2,11,2402,11,7,10,1,1,0,18,0x00,920225000,0,1,4,0xDEADBEAF12438850DEADBEAF5500F101,12,3,2,1332300,166.00,161.00,-8.50,0.00,0.00
8,2000-01-01 01:28:13,0,2,11,2415,11,7,10,1,1,0,18,0x00,920225000,0,1,4,0xDEADBEAF12438850DEADBEAF5500F101,12,3,2,1358364,165.00,161.00,-8.25,0.00,0.00
9,2000-01-01 01:56:00,0,2,11,3247,11,7,10,1,1,0,18,0x00,920225000,0,1,4,0xDEADBEAF12438850DEADBEAF5500F101,12,3,2,1551555,165.00,161.00,-8.25,0.00,0.00
10,2000-01-01 01:59:03,0,2,11,3338,11,7,10,1,1,0,18,0x00,920225000,0,1,4,0xDEADBEAF12438850DEADBEAF5500F101,12,3,2,2002618,166.00,161.00,-8.75,0.00,0.00
11,2000-01-01 02:16:51,0,2,11,3871,11,7,10,1,1,0,18,0x00,920225000,0,1,4,0xDEADBEAF12438850DEADBEAF5500F101,12,3,2,253678,165.00,161.00,-7.75,0.00,0.00
12,2000-01-01 02:26:51,0,2,11,4170,11,7,10,1,1,0,18,0x00,920225000,0,1,4,0xDEADBEAF12438850DEADBEAF5500F101,12,3,2,1927355,165.00,161.00,-7.75,0.00,0.00
13,2000-01-01 02:28:35,0,2,11,4222,11,7,10,1,1,0,18,0x00,920225000,0,1,4,0xDEADBEAF12438850DEADBEAF5500F101,12,3,2,2165904,166.00,161.00,-7.75,0.00,0.00
14,2000-01-01 02:54:39,0,2,11,5002,11,7,10,1,1,0,18,0x00,920225000,0,1,4,0xDEADBEAF12438850DEADBEAF5500F101,12,3,2,1852230,166.00,162.00,-7.75,0.00,0.00
15,2000-01-01 02:55:05,0,2,11,5015,11,7,10,1,1,0,18,0x00,920225000,0,1,4,0xDEADBEAF12438850DEADBEAF5500F101,12,3,2,1878314,166.00,161.00,-7.75,0.00,0.00
16,2000-01-01 02:55:31,0,2,11,5028,11,7,10,1,1,0,18,0x00,920225000,0,1,4,0xDEADBEAF12438850DEADBEAF5500F101,12,3,2,1904394,166.00,161.00,-7.75,0.00,0.00
17,2000-01-01 03:02:55,0,2,11,5249,11,7,10,1,1,0,18,0x00,920225000,0,1,4,0xDEADBEAF12438850DEADBEAF5500F101,12,3,2,3690080,166.00,161.00,-8.00,0.00,0.00
18,2000-01-01 03:07:15,0,2,11,5379,11,7,10,1,1,0,18,0x00,920225000,0,1,4,0xDEADBEAF12438850DEADBEAF5500F101,12,3,2,327060,165.00,161.00,-8.25,0.00,0.00
19,2000-01-01 03:10:18,0,2,11,5470,11,7,10,1,1,0,18,0x00,920225000,0,1,4,0xDEADBEAF12438850DEADBEAF5500F101,12,3,2,1314977,165.00,161.00,-8.25,0.00,0.00
