,FR_TIME,TIME_FRACTIONAL_MS,EXP_SEQ_NUM,TX_MSG_NUM,STEP_NUM,MODULE,BW,SF,CR,CRC_EN,LDRO,SYNC,IQ_INVERT,FREQUENCY,TX_POWER,DISABLE_AMPL,MSG_LEN,ACCOMP_INFO,DEV_ID,MODEM_ID,IF_CHAN,COUNT_MS,RSSI_CHANNEL,RSSI_SIGNAL,SNR,SNR_MAX,SNR_MIN
0,2000-01-01 01:03:00,0,2,10,1660,10,7,10,1,1,0,18,0x00,866975000,0,1,4,0xDEADBEAF12438850DEADBEAF5500F101,9,0,7,1462727,110.00,95.00,-18.00,0.00,0.00
1,2000-01-01 01:09:57,0,2,10,1868,10,7,10,1,1,0,18,0x00,866975000,0,1,4,0xDEADBEAF12438850DEADBEAF5500F101,9,0,7,1880087,110.00,96.00,-16.75,0.00,0.00
2,2000-01-01 01:46:51,0,2,10,2973,10,7,10,1,1,0,18,0x00,866975000,0,1,4,0xDEADBEAF12438850DEADBEAF5500F101,9,0,7,3560691,110.00,95.00,-17.25,0.00,0.00
3,2000-01-01 01:50:20,0,2,10,3077,10,7,10,1,1,0,18,0x00,866975000,0,1,4,0xDEADBEAF12438850DEADBEAF5500F101,9,0,7,3769374,110.00,95.00,-17.75,0.00,0.00
4,2000-01-01 01:55:32,0,2,10,3233,10,7,10,1,1,0,18,0x00,866975000,0,1,4,0xDEADBEAF12438850DEADBEAF5500F101,9,0,7,3948234,110.00,97.00,-16.50,0.00,0.00
5,2000-01-01 02:45:04,0,2,10,4715,10,7,10,1,1,0,18,0x00,866975000,0,1,4,0xDEADBEAF12438850DEADBEAF5500F101,9,0,7,1687740,110.00,96.00,-17.00,0.00,0.00
6,2000-01-01 02:46:22,0,2,10,4754,10,7,10,1,1,0,18,0x00,866975000,0,1,4,0xDEADBEAF12438850DEADBEAF5500F101,9,0,7,1765987,110.00,95.00,-17.75,0.00,0.00
7,2000-01-01 02:50:17,0,2,10,4871,10,7,10,1,1,0,18,0x00,866975000,0,1,4,0xDEADBEAF12438850DEADBEAF5500F101,9,0,7,1866606,109.00,97.00,-16.25,0.00,0.00
8,2000-01-01 02:57:14,0,2,10,5079,10,7,10,1,1,0,18,0x00,866975000,0,1,4,0xDEADBEAF12438850DEADBEAF5500F101,9,0,7,2149763,110.00,97.00,-15.75,0.00,0.00
9,2000-01-01 03:02:53,0,2,10,5248,10,7,10,1,1,0,18,0x00,866975000,0,1,4,0xDEADBEAF12438850DEADBEAF5500F101,9,0,7,2354709,110.00,95.00,-17.50,0.00,0.00
10,2000-01-01 03:11:34,0,2,10,5508,10,7,10,1,1,0,18,0x00,866975000,0,1,4,0xDEADBEAF12438850DEADBEAF5500F101,9,0,7,2608045,110.00,97.00,-16.00,0.00,0.00
11,2000-01-01 03:25:28,0,2,10,5924,10,7,10,1,1,0,18,0x00,866975000,0,1,4,0xDEADBEAF12438850DEADBEAF5500F101,9,0,7,3174547,110.00,96.00,-17.00,0.00,0.00
12,2000-01-01 04:19:23,0,2,10,7536,10,7,10,1,1,0,18,0x00,866975000,0,1,4,0xDEADBEAF12438850DEADBEAF5500F101,9,0,7,1175219,109.00,97.00,-16.25,0.00,0.00
13,2000-01-01 04:40:41,0,2,10,8173,10,7,10,1,1,0,18,0x00,866975000,0,1,4,0xDEADBEAF12438850DEADBEAF5500F101,9,0,7,2050833,109.00,96.00,-17.00,0.00,0.00
14,2000-01-01 04:45:54,0,2,10,8329,10,7,10,1,1,0,18,0x00,866975000,0,1,4,0xDEADBEAF12438850DEADBEAF5500F101,9,0,7,2229617,109.00,94.00,-18.00,0.00,0.00
15,2000-01-01 04:53:17,0,2,10,8550,10,7,10,1,1,0,18,0x00,866975000,0,1,4,0xDEADBEAF12438850DEADBEAF5500F101,9,0,7,2538865,110.00,96.00,-16.50,0.00,0.00
16,2000-01-01 04:54:35,0,2,10,8589,10,7,10,1,1,0,18,0x00,866975000,0,1,4,0xDEADBEAF12438850DEADBEAF5500F101,9,0,7,2617122,110.00,95.00,-18.00,0.00,0.00
17,2000-01-01 04:57:11,0,2,10,8667,10,7,10,1,1,0,18,0x00,866975000,0,1,4,0xDEADBEAF12438850DEADBEAF5500F101,9,0,7,2773698,109.00,96.00,-16.75,0.00,0.00
18,2000-01-01 05:09:22,0,2,10,9031,10,7,10,1,1,0,18,0x00,866975000,0,1,4,0xDEADBEAF12438850DEADBEAF5500F101,9,0,7,3235813,109.00,94.00,-18.25,0.00,0.00
19,2000-01-01 05:11:06,0,2,10,9083,10,7,10,1,1,0,18,0x00,866975000,0,1,4,0xDEADBEAF12438850DEADBEAF5500F101,9,0,7,3340197,109.00,95.00,-17.75,0.00,0.00
20,2000-01-01 05:18:56,0,2,10,9317,10,7,10,1,1,0,18,0x00,866975000,0,1,4,0xDEADBEAF12438850DEADBEAF5500F101,9,0,7,3675635,110.00,95.00,-17.50,0.00,0.00
21,2000-01-01 05:38:56,0,2,10,9915,10,7,10,1,1,0,18,0x00,866975000,0,1,4,0xDEADBEAF12438850DEADBEAF5500F101,9,0,7,44018,110.00,95.00,-17.50,0.00,0.00
22,2000-01-01 05:45:54,0,2,10,10123,10,7,10,1,1,0,18,0x00,866975000,0,1,4,0xDEADBEAF12438850DEADBEAF5500F101,9,0,7,327255,109.00,95.00,-17.75,0.00,0.00
23,2000-01-01 06:13:16,0,2,10,10942,10,7,10,1,1,0,18,0x00,866975000,0,1,4,0xDEADBEAF12438850DEADBEAF5500F101,9,0,7,1434234,109.00,96.00,-17.00,0.00,0.00
24,2000-01-01 06:21:05,0,2,10,11176,10,7,10,1,1,0,18,0x00,866975000,0,1,4,0xDEADBEAF12438850DEADBEAF5500F101,9,0,7,1769729,109.00,96.00,-16.75,0.00,0.00
25,2000-01-01 06:29:47,0,2,10,11436,10,7,10,1,1,0,18,0x00,866975000,0,1,4,0xDEADBEAF12438850DEADBEAF5500F101,9,0,7,2291562,109.00,95.00,-17.50,0.00,0.00
26,2000-01-01 06:41:30,0,2,10,11787,10,7,10,1,1,0,18,0x00,866975000,0,1,4,0xDEADBEAF12438850DEADBEAF5500F101,9,0,7,2861815,109.00,95.00,-17.50,0.00,0.00
27,2000-01-01 06:41:56,0,2,10,11800,10,7,10,1,1,0,18,0x00,866975000,0,1,4,0xDEADBEAF12438850DEADBEAF5500F101,9,0,7,2887897,109.00,95.00,-17.75,0.00,0.00
28,2000-01-01 07:19:19,0,2,10,12918,10,7,10,1,1,0,18,0x00,866975000,0,1,4,0xDEADBEAF12438850DEADBEAF5500F101,9,0,7,4058122,110.00,95.00,-17.75,0.00,0.00
